kodemk,namamk,sks,smt,kurikulum,status_mk,kelas,tipe_mk
INF124207,Sistem Basis Data,2,2,511.2024,A,A,0
INF124203,Struktur Data,2,2,511.2024,A,A,0
INF124310,Interaksi Manusia dan Komputer,3,3,511.2024,A,A,0
INF124302,Jaringan Komputer,2,3,511.2024,A,A,0
INF124311,Keamanan Siber (CE.1),3,3,511.2024,A,A,0
INF124307,Kompleksitas Algoritma,3,3,511.2024,A,A,0
INF124313,Komputasi Awan (NE.1),3,3,511.2024,A,A,0
INF124304,Manajemen Proyek Perangkat Lunak,3,3,511.2024,B,A,0
INF124301,Metode Penelitian,3,3,511.2024,A,A,0
INF124308,Pemrograman Berorientasi Objek,2,3,511.2024,A,A,0
INF124303,Praktikum Jaringan Komputer,1,3,511.2024,A,A,1
INF124309,Praktikum Pemrograman Berorientasi Objek,1,3,511.2024,A,A,1
INF124306,Praktikum Sistem Operasi,1,3,511.2024,A,A,1
INF124312,Realitas Virtual dan Realitas Augmentasi (SE.1),3,3,511.2024,A,A,0
INF124305,Sistem Operasi,2,3,511.2024,A,A,0
INF124404,Internet Of Thing,2,4,511.2024,A,A,0
INF124401,Keamanan Data dan Jaringan,2,4,511.2024,A,A,0
INF124406,Kecerdasan Buatan,3,4,511.2024,A,A,0
INF124413,Komputasi Jaringan (NE.2),3,4,511.2024,A,A,0
INF124411,Kriptografi (CE.2),3,4,511.2024,A,A,0
INF124409,Matematika Diskrit,3,4,511.2024,A,A,0
INF124412,Pembangunan Perangkat Lunak Berorientasi Service (SE.2),3,4,511.2024,A,A,0
INF124407,Pemrograman Berbasis Platform,2,4,511.2024,A,A,0
INF124402,Praktikum Keamanan Data dan Jaringan,1,4,511.2024,A,A,1
INF124408,Praktikum Pemrograman berbasis Platform,1,4,511.2024,A,A,1
INF124405,Pratikum Internet Of Thing,1,4,511.2024,A,A,0
INF124403,Rekayasa Perangkat Lunak,3,4,511.2024,A,A,0
INF124410,Technopreneuership,2,4,511.2024,A,A,0
INF124501,Analisis dan Desain Perangkat Lunak,3,5,511.2024,A,A,0
INF124504,Bahasa Inggris,3,5,511.2024,A,A,0
POL124501,Cyber Politik dan Media Baru,3,5,511.2024,A,A,0
INF124505,Forensik Digital (CE.3),3,5,511.2024,A,A,0
HKM124701,Hukum Teknologi Informasi,2,5,511.2024,A,A,0
INF124502,Komputasi Paralel dan Terdistribusi,3,5,511.2024,A,A,0
INFMBKM02,Magang/Studi Independen,17,5,511.2024,A,A,0
MNJ124305,Manajemen Resiko,3,5,511.2024,A,A,0
SDT124307,Pembelajaran Mesin,3,5,511.2024,A,A,0
INF124506,Pengembangan Aplikasi Permainan (SE.3),3,5,511.2024,A,A,0
TKM120407,Sistem Kendali,3,5,511.2024,A,A,0
SIM124109,Tata Kelolah TI,3,5,511.2024,A,A,0
INF124503,Teori Bahasa dan Automata,3,5,511.2024,A,A,0
INF124507,Wireless Network (NE.3),3,5,511.2024,A,A,0
INF124639,AI Computing Platform,3,6,511.2024,A,A,0
INF124637,Analisis Jejaring Sosial,3,6,511.2024,A,A,0
INF124612,Big Data,2,6,511.2024,A,A,0
INF124631,Communication Skill,1,6,511.2024,A,A,0
INF124642,Computer Vision,3,6,511.2024,A,A,0
INF124624,Data mining dan Data warehouse + Tutorial,2,6,511.2024,A,A,0
INF124630,Deep Learning,3,6,511.2024,A,A,0
INF124603,Disseminasi luaran,1,6,511.2024,A,A,0
INF124623,Embedded System,2,6,511.2024,A,A,0
INF124618,Ethical Hacking,2,6,511.2024,A,A,0
INF124636,Financial Technology,3,6,511.2024,A,A,0
INF124611,Informatika Sosial,2,6,511.2024,A,A,0
INF124634,Inovasi dan Desain Thinking,3,6,511.2024,A,A,0
INF124602,Kerja Praktik,2,6,511.2024,A,A,0
INF124633,Manajemen Organisasi,3,6,511.2024,A,A,0
INF124621,Mobile Programming,2,6,511.2024,A,A,0
INF124628,Pengolahan Citra Digital,2,6,511.2024,A,A,0
INF124614,Perangkat Sensor Jaringan tanpa kabel,3,6,511.2024,A,A,0
INF124613,Praktikum Big Data,1,6,511.2024,A,A,1
INF124622,Praktikum Mobile Programming,1,6,511.2024,A,A,1
INF124629,Praktikum Pengolahan Citra Digital,1,6,511.2024,A,A,1
INF124625,Pratikum Data Mining dan Data Warehouse,1,6,511.2024,A,A,0
INF124632,Problem Solving,2,6,511.2024,A,A,0
INF124601,Proyek Capstone,2,6,511.2024,A,A,0
INF124641,Robotika,3,6,511.2024,A,A,0
INF124619,Sistem Digital,2,6,511.2024,A,A,0
INF124638,Sistem Media Interaktif,3,6,511.2024,A,A,0
INF124615,Sistem Pakar,3,6,511.2024,A,A,0
INF124610,Software Quality Assurance,3,6,511.2024,A,A,0
INF124635,Strategi Algoritma,3,6,511.2024,A,A,0
INF124617,Technology Blockchain,3,6,511.2024,A,A,0
INF124620,Temu Kembali Informasi,3,6,511.2024,A,A,0
INF124616,Visualisasi Data,3,6,511.2024,A,A,0
INF124640,Web Semantic,3,6,511.2024,A,A,0
MKW124706,Filsafat Ilmu dan Logika,2,7,511.2024,A,A,0
MKW124705,Kepemimpinan,2,7,511.2024,A,A,0
MKW124707,Kewarganegaraan,2,7,511.2024,A,A,0
MKW124704,Pendidikan Bela Negara,2,7,511.2024,A,A,0
INF124701,Proposal,2,7,511.2024,A,A,0
INF124801,Tugas Akhir,4,8,511.2024,A,A,0
SDT124102,Aljabar Linear,3,1,514.2024,A,A,0
SDT124104,Dasar Pemrograman,3,1,514.2024,A,A,0
SDT124101,Matematika Diskrit,3,1,514.2024,A,A,0
SDT124105,Pengantar Basis Data,3,1,514.2024,A,A,0
SDT124106,Pengantar Sains Data,3,1,514.2024,A,A,0
SDT124107,Pengantar Teknologi Informasi,2,1,514.2024,A,A,0
SDT124103,Statistik dan Probabilitas,3,1,514.2024,A,A,0
SID124204,Algoritma dan Pemrograman Lanjut,3,2,514.2024,A,A,0
SID124205,Matematika Sains Data,3,2,514.2024,A,A,0
MKU123202,Pancasila,2,2,514.2024,A,A,0
MKU123201,Pendidikan Bela Negara,2,2,514.2024,A,A,0
SID124202,Pengantar Ilmu Kesehatan,2,2,514.2024,A,A,0
SID124201,Sistem Operasi,3,2,514.2024,A,A,0
SID124203,Struktur Data,3,2,514.2024,A,A,0
SID124302,Analisis Big Data,2,3,514.2024,A,A,0
SID124304,Bahasa Inggris,3,3,514.2024,A,A,0
SID124305,Basis Data Lanjut,3,3,514.2024,A,A,0
SID124306,Data Mining,3,3,514.2024,A,A,0
SID124308,Interaksi Manusia dan Komputer,3,3,514.2024,A,A,0
SID124307,Pembelajaran Mesin,3,3,514.2024,A,A,0
SID124303,Pemrograman Web,3,3,514.2024,A,A,0
SID124301,Rekayasa Data,2,3,514.2024,A,A,0
SIM124108,Bahasa Inggris,3,1,512.2024,A,A,0
SIM124102,Dasar Pemrograman,2,1,512.2024,A,A,0
SIM124107,Konsep Sistem Informasi,2,1,512.2024,A,A,0
SIM124106,Matematika Diskrit,3,1,512.2024,A,A,0
SIM124104,Pengantar Basis Data,2,1,512.2024,A,A,0
SIM124101,Pengantar Teknologi Informasi,2,1,512.2024,A,A,0
SIM124103,Praktikum Dasar Pemrograman,2,1,512.2024,A,A,1
SIM124105,Praktikum Pengantar Basis Data,1,1,512.2024,A,A,1
SIM124109,Tata Kelola TI,3,1,512.2024,A,A,0
